Title,Price,Rating
"Amazon Basics 2 Slice, Extra-Wide Slot Toaster with 6 Shade Settings, Black & Silver",23.81,4.3 out of 5 stars
"Cuisinart CPT-122BK 2-Slice Compact Plastic Toaster, Black",29.95,4.0 out of 5 stars
"Mueller UltraToast Full Stainless Steel Toaster 4 Slice, Long Extra-Wide Slots with Removable Tray, Cancel/Defrost/Reheat Functions, 6 Browning Levels with LED Display",39.97,4.4 out of 5 stars
"BELLA 2 Slice Toaster with Auto Shut Off - Extra Wide Slots & Removable Crumb Tray and Cancel, Defrost & Reheat Function - Toast Bread, Bagel & Waffle, Aqua",24.91,4.4 out of 5 stars
"Elite Gourmet ECT1027B Cool Touch Toaster with 6 Temperature Settings & Extra Wide 1.25"" Slots for Bagels, Waffles, Specialty Breads, Puff Pastry, Snacks, ETL Certified, 2 Slices, Black",15.99,4.2 out of 5 stars
"Runnatal 2 Slice Toaster, 100% Stainless Steel, Wide Slot Toaster Multifunctional with 7 Toast Settings, Defrost, BAGEL, Cancel Functions, Easy to Operate and Clean 120V 800W Silver Metallic",25.99,4.3 out of 5 stars
"Mueller Retro Toaster 2 Slice with 7 Browning Levels and 3 Functions: Reheat, Defrost & Cancel, Stainless Steel Features, Removable Crumb Tray, Under Base Cord Storage, White",27.87,4.3 out of 5 stars
"BELLA 2 Slice Toaster with Auto Shut Off - Extra Wide Slots & Removable Crumb Tray and Cancel, Defrost & Reheat Function - Toast Bread, Bagel & Waffle, White",24.86,4.4 out of 5 stars
"Amazon Basics 2 Slice, Extra-Wide Slot Toaster with 6 Shade Settings, Black & Silver",23.81,4.3 out of 5 stars
"BLACK+DECKER 2-Slice Toaster, T2569B, Extra Wide Slots, 6 Shade Settings, 850 Watts, Crub Tray, Cancel Button",24.99,4.5 out of 5 stars
Toaster 2 Slice Wide Slot Toaster Best Rated Prime Displav Smart Toasters with LCD Digital Countdown Timer and Bagel/Defrost/Cancel/Reheat Function,26.99,4.4 out of 5 stars
"SEEDEEM Toaster 2 Slice, Stainless Steel Bread Toaster LCD Display, 7 Bread Shade Settings, 1.4'' Wide Slots Toaster Bagel/Defrost/Reheat Functions, Removable Crumb Tray, 900W, Dark Metallic",31.50,4.3 out of 5 stars
"Elite Gourmet ECT-3100 Long Slot 4 Slice Toaster, Reheat, 6 Toast Settings, Defrost, Cancel Functions, Built-in Warming Rack, Extra Wide Slots for Bagels & Waffles, Stainless Steel & Black",34.99,4.4 out of 5 stars
"2 Slice Black Toaster with Wide Slots, Bagel Function, 7 Shade Settings, Removable Crumb Tray - Compact Prime Rated Toaster for Bread, Waffles",19.99,4.3 out of 5 stars
